分類,品牌名稱,注音,品牌旗艦館連結,品牌旗艦館APP連結,大網LOGO,小網LOGO,品牌Logo背景圖
衣／鞋／錶,MOLLIFIX,,https://www.etmall.com.tw/bs/58785,a1,https://media.etmall.com.tw/Promo/Image/Kanban/70/236831/012c186c-4d27-48ad-b19e-6bfb4e7edc35.JPG,https://media.etmall.com.tw/Promo/Image/Kanban/70/236831/258cace2-ba05-45dc-888b-988dab836b11.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/236831/e5f14a7c-df3b-4954-acd5-47ffc19f36dc.jpg
數位轉型專案,靜思書軒,ㄐ,https://www.etmall.com.tw/bs/162845,a2,https://media.etmall.com.tw/Promo/Image/Kanban/70/292628/8546759c-9d59-456e-aea5-58d5ad36fd32.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/292628/b5b9efde-6c2f-4bfa-bd11-88b8b48463be.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/292628/443551ec-ec09-4c52-8bde-bd6cf0f56a64.jpg
美妝保健,CHIC CHOC,,https://www.etmall.com.tw/bs/97025,a3,https://media.etmall.com.tw/Promo/Image/BrandPublish/97025/201712191183_CC_Logo_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/97025/201712191183_CC_Logo_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/97025/201712191188_750x200_gray.jpg
美妝保健,Kanebo佳麗寶,ㄐ,https://www.etmall.com.tw/bs/97024,a4,https://media.etmall.com.tw/Promo/Image/BrandPublish/97024/2017121910332_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/97024/2017121910332_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/97024/2017121910337_750x200_gray.jpg
3C／家電,SANLUX台灣三洋,ㄊ,https://www.etmall.com.tw/bs/164422,a5,https://media.etmall.com.tw/Promo/Image/Kanban/70/246464/a35466fa-4202-4e6f-939e-a34ccfa8b811.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/246464/878d18a2-1fe6-4e28-a44f-5ba28c1c1e6b.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/246464/839307d9-cd3c-405e-848b-f48ad0d8fb9c.jpg
美妝保健,BIO UP 科美研,ㄎ,https://www.etmall.com.tw/bs/164655,a6,https://media.etmall.com.tw/Promo/Image/Kanban/70/245310/e43cfe9e-fc95-4bcc-8beb-24b8e3d83ff3.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/245310/9b651ba3-ec35-4aea-ae3c-8a348539ec48.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/245310/d55e7b85-fabb-4b14-a26c-dabcaabc4029.jpg
衣／鞋／錶,Hilltop山頂鳥,ㄕ,https://www.etmall.com.tw/bs/98401,a7,https://media.etmall.com.tw/Promo/Image/BrandPublish/98401/20194114513_230X90-LOGO-1.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/98401/20194115186_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/98401/20196411396_750X200APP.jpg
3C／家電,鍋寶,ㄍ,https://www.etmall.com.tw/bs/53340,a8,//media.etmall.com.tw/Promo/Image/Kanban/70/158144/ed5b6b04-8c77-4ab4-a768-b78b562f5fad.png,//media.etmall.com.tw/Promo/Image/Kanban/70/158144/80e90c3a-a895-426a-9d7d-e2142416031a.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53340/201712121621_品牌-Logo背景圖_750x200.jpg
衣／鞋／錶,GIORDANO佐丹奴,ㄗ,https://www.etmall.com.tw/bs/58786,a9,https://media.etmall.com.tw/Promo/Image/Kanban/70/231296/0136281e-8754-4892-8dde-021c621bd7ee.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/231296/818b4317-bdd8-4f0c-b858-7f3e93585324.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/231296/2fe01549-081a-4b32-8eb8-aa2d378a5174.jpg
傢寢／運休,生活工場,ㄕ,https://www.etmall.com.tw/bs/140133,a10,https://media.etmall.com.tw/Promo/Image/BrandPublish/140133/202041415359_230x90_1.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/140133/202041415355_160x160_1.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/140133/20204920532_750X200.jpg
